datetime,price,monthOfYear,Hour,dayOfWeek,difRes,difLoad,isoDay_std,priceDif1,priceRef
2021-12-04 10:00:00+01:00,239.55,12,10,5,-1.1105109160477156,-0.04121279052256413,42.401965993438274,58.59,180.96
2021-12-04 11:00:00+01:00,235.01,12,11,5,-1.087778528021607,-0.022053779094088316,42.401965993438274,74.6,160.41
2021-12-04 12:00:00+01:00,237.92,12,12,5,-1.078775602070673,-0.007663604571390325,42.401965993438274,97.91,140.01
2021-12-04 13:00:00+01:00,222.0,12,13,5,-1.0463650686473103,-0.04295299767414621,42.401965993438274,81.19999999999999,140.8
2021-12-04 14:00:00+01:00,218.73,12,14,5,-0.9627128816865481,-0.05602128407208473,42.401965993438274,38.79999999999998,179.93
2021-12-04 15:00:00+01:00,210.0,12,15,5,-0.8734338660064521,-0.06465538878570352,42.401965993438274,45.099999999999994,164.9
2021-12-04 16:00:00+01:00,222.0,12,16,5,-0.7916572886188011,-0.07877783913123504,42.401965993438274,42.0,180.0
2021-12-04 17:00:00+01:00,243.05,12,17,5,-0.6218020856778453,-0.0891019527132172,42.401965993438274,-36.94999999999999,280.0
2021-12-04 18:00:00+01:00,203.0,12,18,5,-0.46335058894140596,-0.06515737161789067,42.401965993438274,-63.94999999999999,266.95
2021-12-04 19:00:00+01:00,171.47,12,19,5,-0.3817240603196039,-0.05347790438900323,42.401965993438274,-13.129999999999995,184.6
2021-12-04 20:00:00+01:00,189.42,12,20,5,-0.37009528096631406,-0.04449241169285344,42.401965993438274,-29.580000000000013,219.0
2021-12-04 21:00:00+01:00,136.88,12,21,5,-0.33903518643559155,-0.026320633167679,42.401965993438274,-63.02000000000001,199.9
2021-12-04 22:00:00+01:00,129.87,12,22,5,-0.25883412108935405,-0.013218881247594665,42.401965993438274,-70.06,199.93
2021-12-04 23:00:00+01:00,120.86,12,23,5,-0.1857603721209393,-0.006659638907016046,42.401965993438274,-99.14,220.0
2021-12-05 00:00:00+01:00,87.39,12,0,6,0.21415607985480944,-0.0009594955794667946,36.662514419866994,-170.61,258.0
2021-12-05 01:00:00+01:00,102.96,12,1,6,0.30161070780399274,0.0021759989034336237,36.662514419866994,-95.04,198.0
2021-12-05 02:00:00+01:00,109.74,12,2,6,0.3441470054446461,0.007007744500034268,36.662514419866994,-54.05,163.79
2021-12-05 03:00:00+01:00,109.56,12,3,6,0.35265426497277674,0.0008909601809334521,36.662514419866994,-75.44,185.0
2021-12-05 04:00:00+01:00,110.09,12,4,6,0.3642241379310345,-0.008241381673634432,36.662514419866994,-74.91999999999999,185.01
2021-12-05 05:00:00+01:00,112.77,12,5,6,0.33915607985480944,-0.015780275512302103,36.662514419866994,-71.02,183.79
2021-12-05 06:00:00+01:00,180.1,12,6,6,0.2558983666061706,-0.0332396682886711,36.662514419866994,-7.5,187.6
2021-12-05 07:00:00+01:00,211.0,12,7,6,0.16810344827586207,-0.04759783428140635,36.662514419866994,6.0,205.0
2021-12-05 08:00:00+01:00,200.0,12,8,6,0.1362295825771325,-0.062041669522308274,36.662514419866994,-22.789999999999992,222.79
2021-12-05 09:00:00+01:00,200.1,12,9,6,0.16572141560798548,-0.07086560208347611,36.662514419866994,-34.91,235.01
2021-12-05 10:00:00+01:00,180.1,12,10,6,0.18012704174228675,-0.08361318621067781,36.662514419866994,-59.45000000000002,239.55
2021-12-05 11:00:00+01:00,235.0,12,11,6,0.08915607985480943,-0.08217394284147762,36.662514419866994,-0.009999999999990905,235.01
